ortho	Lexique3__phon	Lexique3__lemme	Lexique3__cgram	Lexique3__freqlemfilms2	Lexique3__freqfilms2	Lexique3__islem	Lexique3__nblettres	Lexique3__puorth	Lexique3__puphon	Lexique3__nbsyll	Lexique3__cgramortho
emplois	@plwa	emploi	NOM	30.94	4.98	0	7	0	5	2	NOM
griller	gRije	griller	VER	14.2	4.97	1	7	7	5	2	VER
quittés	kite	quitter	VER	276.23	4.95	0	7	0	4	2	VER
pourrie	puRi	pourri	ADJ	18.09	4.95	0	7	0	4	2	ADJ,VER
options	opsj§	option	NOM	12.31	4.94	0	7	0	0	2	VER,NOM
rendons	R@d§	rendre	VER	508.81	4.93	0	7	0	0	2	VER
pédales	pedal	pédale	NOM	6.62	4.92	0	7	0	5	2	NOM,VER
mangera	m@Z°Ra	manger	VER	467.82	4.91	0	7	0	0	3	VER
chaudes	Sod	chaud	ADJ	84.16	4.89	0	7	0	0	1	ADJ,NOM
orgasme	ORgasm	orgasme	NOM	6.37	4.89	1	7	7	6	2	NOM
stopper	stope	stopper	VER	9.46	4.88	1	7	7	5	2	VER
quittes	kit	quitte	ADJ	11.04	4.87	0	7	0	3	1	ADJ,VER
ex-mari	EksmaRi	ex-mari	NOM	5.05	4.87	1	7	7	7	3	NOM
montent	m§t	monter	VER	277.32	4.86	0	7	0	0	1	VER
portant	pORt@	porter	VER	319.98	4.86	0	7	7	5	2	ADJ,NOM,VER
tournes	tuRn	tourner	VER	204.15	4.85	0	7	0	4	1	NOM,VER
trophée	tRofe	trophée	NOM	7.02	4.85	1	7	5	4	2	NOM
donneur	don9R	donneur	NOM	5.87	4.85	1	7	6	4	2	ADJ,NOM
couches	kuS	coucher	VER	181.96	4.84	0	7	0	3	1	NOM,VER
restais	REstE	rester	VER	1003.56	4.84	0	7	0	0	2	VER
roulant	Rul@	roulant	ADJ	7.03	4.84	1	7	7	4	2	ADJ,VER
publics	pyblik	public	ADJ	44.81	4.84	0	7	0	6	2	ADJ,NOM
occupée	okype	occupé	ADJ	20.63	4.83	0	7	0	5	3	VER,ADJ
dortoir	dORtwaR	dortoir	NOM	5.29	4.83	1	7	4	4	2	NOM
menacée	m°nase	menacer	VER	49.63	4.83	0	7	0	6	3	VER,ADJ
branler	bR@le	branler	VER	12.72	4.82	1	7	7	5	2	VER
délires	deliR	délirer	VER	13.73	4.81	0	7	0	5	2	NOM,VER
majeure	maZ9R	majeur	ADJ	10.45	4.81	0	7	0	4	2	ADJ,NOM
indiqué	5dike	indiquer	VER	36.49	4.81	0	7	7	5	3	VER,ADJ
chargée	SaRZe	charger	VER	93.02	4.81	0	7	0	5	2	VER,ADJ
anormal	anORmal	anormal	ADJ	7.4	4.8	1	7	7	7	3	ADJ,NOM
ampoule	@pul	ampoule	NOM	7.66	4.8	1	7	7	4	2	NOM
soprano	sopRano	soprano	NOM	5.21	4.8	1	7	4	4	3	NOM
matelot	mat°lo	matelot	NOM	7.04	4.78	1	7	7	6	3	NOM
